school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Ripon,Midwest,2024,4,6,4,5
Clark Atlanta,SIAC,2024,7,3,6,3
Allen,SIAC,2024,2,8,1,7
CENTENARY,Southern Collegiate Athletic,2024,4,6,4,4
Western Oregon,Lone Star,2024,6,5,6,3
Western New England,Commonwealth Coast,2024,6,4,3,2
Marietta,Ohio,2024,8,2,7,2
Washington and Lee,Old Dominion,2024,6,4,5,2
Rhode Island,CAA,2024,11,3,7,1
Florida Atlantic,American Athletic,2024,3,9,1,7
Chadron St,Rocky Mountain,2024,3,8,2,7
Christopher Newport,New Jersey,2024,7,3,5,1
Belhaven,USA South,2024,5,5,5,3
Cornell,Ivy,2024,4,6,3,4
Methodist,USA South,2024,1,9,1,7
Simpson College (IA),American Rivers,2024,5,5,4,4
Aurora,NACC,2024,9,2,8,0
Old Dominion,Sun Belt,2024,5,7,4,4
Southeastern Oklahoma State,Great American,2024,5,6,5,6
Lincoln (CA),Independent DII,2024,0,11,0,1
Westfield State,MSCAC,2024,4,6,4,5
Wingate,South Atlantic,2024,9,2,7,1
North Carolina,ACC,2024,6,7,3,5
Illinois,Big Ten,2024,10,3,6,3
Elmhurst,CCIW,2024,3,7,3,6
Wheaton,CCIW,2024,8,2,8,1
Benedict College,SIAC,2024,4,6,4,4
Central Missouri,Mid America,2024,8,3,6,3
Marshall,Sun Belt,2024,10,3,8,1
Eastern Michigan,Mid-American,2024,5,7,2,6
Black Hills State,Rocky Mountain,2024,6,5,5,4
UT Martin,Big South-OVC,2024,9,5,6,2
Maryville College (TN),USA South,2024,9,2,7,0
American International,Northeast 10,2024,4,7,3,6
Worcester St,MSCAC,2024,3,7,3,6
Western New Mexico,Lone Star,2024,2,9,0,9
Northern Illinois,Mid-American,2024,8,5,4,4
St. Francis (PA),NEC,2024,4,7,2,5
Idaho,Big Sky,2024,10,4,6,3
Colorado,Big 12,2024,9,4,7,2
SE Louisiana,Southland,2024,7,5,6,1
Ohio Wesleyan,North Coast,2024,4,6,3,5
